14.1,14.4,14.1
14.5,14.6,14.3
15.7,15.2,14.9
16,15.5,15.3
16.5,15.8,15.7
16.9,16.5,16.2
17,16.8,16.5
17,17.1,16.6
17.3,16.9,16.5
17.3,17.1,16.7
17.8,17.7,17.3
17.9,17.7,17.5
19.1,19.4,19.3
19.4,19.2,17.3
19.8,20,19.4
13.7,13.4,12.7
14.7,14.8,13.1
14.9,14.4,13.6
15.1,14.8,13.6
15.8,14.8,14.2
16.4,15.7,14.9
16.6,16.9,16.1
16.9,16.9,16.1
16.9,16.9,16.3
17.2,17.3,15.9
17.8,18.2,17.4
17.8,17.7,16.9
18.2,17.8,17.1
18.4,18.5,17.3
19.3,18.9,17.7
14.6,13,11.7
15,13,11.9
15.5,12.7,11
15.7,14.1,12.1
16.4,14.4,12.3
16.9,14.5,13.6
17.1,15.6,14.3
17.3,15.4,14.2
17.5,15.6,14.4
17.6,14.8,13.8
17.8,16.1,14.3
17.9,15.7,13.8
18.4,16.7,15.4
18.5,16.4,15.1
19,17.2,15.5
